Genome Name,Data could not be classified,Amikacin,Tobramycin,Gentamycin,Imipenem,Meropenam,Doripenem,Ciprofloxacin,Levofloxacin,Piperacillin/tazobactam,Ticarcillin/clavulanic acid,Cefotaxime,Ceftriaxone,Ceftazidime,Cefepime,Trimethoprim/sulfamethoxazole,Ampicillin/sulbactam,Colistin,polymyxin B,Tetracycline,Doxicycline ,Minocycline,
Acinetobacter baumannii strain MRSN11764,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11765,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11778,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11795,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11815,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11816,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11819,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11821,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,Susceptible,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11822,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11826,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN1308,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN1339,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN1428,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN1439,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Resistant,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN1449,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN15045,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN15046,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN15070,Possible Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN15075,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN15076,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN15082,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN15087,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN15088,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN1551,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,NA,NA,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN1598,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN2009,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN2821,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN2830,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN3843,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7091,Data could not be classified,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7127,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7148,Data could not be classified,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7150,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7153,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7204,Data could not be classified,Susceptible,Resistant,Resistant,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Resistant,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN7295,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7301,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7325,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7345,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7346,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7347,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Resistant,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7348,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7368,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7435,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7446,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7460,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN7463,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,NA,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7472,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7482,Data could not be classified,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7486,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7503,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7564,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7585,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,NA,Susceptible,NA,NA,NA,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN7600,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7618,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7637,Data could not be classified,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,NA,NA,Susceptible,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7655,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,NA,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7657,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7709,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7725,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Resistant,NA,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7731,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Resistant,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7735,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7740,Data could not be classified,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,Resistant,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN7782,Possible Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Susceptible,Susceptible,NA,NA,NA,NA,NA,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain 130,Possible MDR,NA,Resistant,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 171,Possible MDR,NA,Resistant,Susceptible,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,Resistant,Resistant,Susceptible,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 177,Possible MDR,NA,Susceptible,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 182,Possible MDR,NA,Susceptible,Susceptible,NA,NA,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 183,Possible MDR,NA,Susceptible,Susceptible,NA,NA,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Susceptible,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 260,Possible MDR,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 329,Possible MDR,NA,Resistant,Resistant,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Susceptible,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 360,Possible MDR,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 362,Possible MDR,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 456,Possible MDR,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 468,Possible MDR,NA,Susceptible,NA,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 473,Possible MDR,NA,Susceptible,Susceptible,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain 87,Possible MDR,NA,Resistant,NA,NA,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain BL02,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL03,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL04,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL05,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL06,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL07,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL08,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL09,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL10,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL11,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL12,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL13,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL14,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL15,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL16,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL17,Possible XDR,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL18,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL19,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL20,Possible XDR,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
